,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11
40698,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,12020060701,SIZE SENSOR WITH CABLE,12020060701-SIZE SENSOR WITH CABLE,MMS-12020060701,$79 ,5,Classified by ML model,safety wingset
40699,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14620009301,DISPLACEMENT DETECTION BOARD FFC,14620009301-DISPLACEMENT DETECTION BOARD FFC,MMS-14620009301,$70 ,5,Classified by ML model,safety wingset
40700,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14620009401,CLUTCH BOARD FFC,14620009401-CLUTCH BOARD FFC,MMS-14620009401,$70 ,5,Classified by ML model,safety wingset
40701,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121012,Service,PH230600131108,Alaris System Service Parts,PH230600141255,Medley NONCATALOG,PH230600151403,Medley NONCATALOG,TC10003090,SUPPORT BUSHING LEVER LATCH 8120.,TC10003090-SUPPORT BUSHING LEVER LATCH 8120.,MMS-TC10003090,$69 ,5,Matched by 2024 Material ID,Safety Wingset
40702,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14620009601,MOTOR SPEED DETECTION FFC,14620009601-MOTOR SPEED DETECTION FFC,MMS-14620009601,$68 ,5,Classified by ML model,safety wingset
40703,BLS,BDB,Biosciences,BDB,Biosciences,2200300,Service,PH220030021400,Knowledge Transfer Services,PH220030031550,Training,PH220030041017,Training,PH220030051047,Training Non-product specific,667587,Art of Sorting VClass Lecture Only,667587-Art of Sorting VClass Lecture Only,BDB-667587,"$1,000 ", -   ,EXCLUDED: TRAINING,EXCLUDE
40704,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14040064401,TUBE CLAMP,14040064401-TUBE CLAMP,MMS-14040064401,$65 ,5,Classified by ML model,safety wingset
40705,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306006,BD Nexus,PH230600621002,Service,PH230600631027,BD Nexus Service Parts,PH230600641029,Spares Parts,PH230600651031,Spares Parts,14550000301,PUMP SPEAKER,14550000301-PUMP SPEAKER,MMS-14550000301,$64 ,5,Classified by ML model,safety wingset
40706,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220020023050,Custom Clinical Reagents,PH220020035550,Custom - CTT CM,PH220020041110,CTT CM,PH220020051305,CTT CM,627852,CD3 PerCP-Cy5.5 Comp CTT LYO,627852-CD3 PerCP-Cy5.5 Comp CTT LYO,BDB-627852,$63 ,5,Matched by 2024 Material ID,BACTEC vials
40707,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100641002,Epicenter Software,PH211100651002,Epicenter Software,*441184,ACTIVATION,*441184-ACTIVATION,DS-*441184,"$1,000 ",1,EXCLUDED: SOFTWARE,EXCLUDE
40708,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220020023050,Custom Clinical Reagents,PH220020035550,Custom - CTT CM,PH220020041110,CTT CM,PH220020051305,CTT CM,627857,CD34 PerCP-Cy5.5 Comp CTT LYO,627857-CD34 PerCP-Cy5.5 Comp CTT LYO,BDB-627857,$63 ,5,Matched by 2024 Material ID,BACTEC vials
40709,BLS,BDB,Biosciences,BDB,Biosciences,2200500,Clinical Reagents,PH220020023050,Custom Clinical Reagents,PH220020035550,Custom - CTT CM,PH220020041110,CTT CM,PH220020051305,CTT CM,627861,CD64 PerCP-Cy5.5 Comp CTT LYO,627861-CD64 PerCP-Cy5.5 Comp CTT LYO,BDB-627861,$63 ,5,Matched by 2024 Material ID,BACTEC vials
40710,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306004,CME,PH230600421008,Service,PH230600431073,CME Service,PH230600441155,Service Parts,PH230600451220,Service parts CME,170-298X,ASSY AC/DC BG.,170-298X-ASSY AC/DC BG.,MMS-170-298X,"$1,000 ",36,EXCLUDED: SERVICE,EXCLUDE
40711,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022650,Custom Research Reagents,PH220080034100,Non Sirigen - CTT,PH220080041074,Non Sirigen - CTT,PH220080051230,Non Sirigen - CTT,627712,Lambda PE Comp CTT DD,627712-Lambda PE Comp CTT DD,BDB-627712,$63 ,5,Matched by 2024 Material ID,BACTEC vials
40712,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401531,Total Home Care Sales,PH240153121002,Urology Home Care,PH240153131027,Home Care Non Bard,PH240153141054,UK DAC Sales (Non Bard),PH240153151054,UK DAC Sales (Non Bard),UKRM5782,MEDIPLUS ALL SILICONE CATHETER 5-10ML BALLOON FEMALE 12CH,UKRM5782-MEDIPLUS ALL SILICONE CATHETER 5-10ML BALLOON FEMALE 12CH,UCC-UKRM5782,$58 ,5,Matched by 2024 Material ID,Purewick catheter
40713,BLS,BDB,Biosciences,BDB,Biosciences,2200800,Research Reagents,PH220080022650,Custom Research Reagents,PH220080034100,Non Sirigen - CTT,PH220080041074,Non Sirigen - CTT,PH220080051230,Non Sirigen - CTT,626389,CD8 FITC Comp CTT DD,626389-CD8 FITC Comp CTT DD,BDB-626389,$52 ,5,Matched by 2024 Material ID,BACTEC vials
40714,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111005,Service,PH211100521000,Service excl. Lab Automation,PH211100531150,Service Time & Materials,PH211100541007,Service Spare Parts,PH211100551020,Liquid Based Cytology Service,491321,BLOCK DISTRIBUTION VACUUM PS,491321-BLOCK DISTRIBUTION VACUUM PS,DS-491321,$999 ,1,EXCLUDED: SERVICE,EXCLUDE
