,SEG,BU,Platform,Product Category,Product Line,Product Set
45475,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45476,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45478,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45479,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45482,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45487,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45490,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD AbSeq,AbSeq - MTS vials
45492,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45494,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue Support,Antibody Controls
45497,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45499,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB744 OptiBuild
45501,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45504,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45505,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45507,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45508,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45510,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45512,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45513,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Immune Function (Flow Cytometry),Non Sirigen - Immune Function (Flow Cytometry)
45516,BLS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Cell Signal Cancer (Flow Cytometry),Non Sirigen - Cell Signal Cancer (Flow Cytometry)
45517,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
45519,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
