,SEG,BU,Platform,Product Category,Product Line,Product Set
338,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
349,BDM,PS,Prefillable Systems,Stopper,Stopper Low Tier,TSCF/TCF
396,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
442,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,2-Piece Conventional - COMBOS,2ml Syringe with Ndl
548,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
595,BLS,DS,Molecular Diagnostics,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment
660,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle
678,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
749,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle
808,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
823,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
906,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
909,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
926,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,2-Piece Conventional - COMBOS,2ml Syringe with Ndl
931,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1071,BLS,SM,Specimen Acquisition,Needles,Conventional Needles,NEEDLES CONVENTIONAL
1075,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1146,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1225,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod
1295,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,3pc Conventional Large - SYRINGE ONLY,Cust Spec Syr Only
1321,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
1335,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1364,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
1384,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
1389,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod Color
1414,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
1417,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
1466,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
1495,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
1542,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC
1547,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
1558,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1576,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1584,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
1615,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1619,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Backstop
1644,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
1648,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1729,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1730,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
1731,BDM,MDS,Skin Prep & Securement,Skin Prep,ChloraPrep Single Swabstick,Single Swabstick 1.75 ml
1738,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer
1740,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1753,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
1767,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
1778,BDM,PS,SAIS,Device,Pen Vystra,Cap
1809,BDM,PS,SAIS,Device,Autoinjector Physioject,TSA
1832,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
1835,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1873,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1874,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS
1875,BDM,PS,Prefillable Systems,Glass Container,Hypak for Antico,SCF Needle RNS
1983,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1984,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1999,BDM,PS,Prefillable Systems,Plastic Container,Sterifill Advance,SCF Luer
2010,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
2022,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
2072,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
2073,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2119,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2123,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod Color
2124,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
2150,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2169,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
2177,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
2195,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2197,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
2224,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2228,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2277,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2278,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2286,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF PremiumCoat
2289,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2302,BDM,MDS,Hypodermic Products,Resuse Prevention Hypodermic Products,Emerald PRO-Combos,Low Cost RUP Syringe
2311,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
2326,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2340,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2341,BLS,SM,Lab Specimen Management,Lab Specimen Management - PC Adjustment,Lab Specimen Management - PC Adjustment,Lab Specimen Management - PC Adjustment
2352,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External
2356,BDM,PS,PS Safety,Device,Ultrasafe,Manual device Color
2363,BDM,MDS,IV Access,IVA SmartSite,IVA Extension Sets - SmartSite,SmartSite
2365,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2405,BDM,PS,Prefillable Systems,Glass Container,Hypak legacy - Biotech,SCF Needle RNS
2408,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle
2430,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Small Bore Needles
2434,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2435,BDM,MDS,IV Access,IVA SmartSite,IVA Extension Sets - SmartSite,SmartSite
2443,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2468,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
2519,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2566,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF Visio
2569,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
2580,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes 2
2590,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Venflon Pro with Instaflash,Venflon Pro with Instaflash
2605,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
2614,BDM,PS,Prefillable Systems,Glass Container,Hylok,SCF Luer
2634,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Specialty Access,EXT Kit/Set,EXT Basic
2649,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits
2687,BDM,MDS,IV Access,IVA MaxPlus,IVA Extension Sets - MaxPlus,MaxPlus Clear
2713,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
2747,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
2753,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod White
2754,BDM,MDS,Advanced Access Devices,PICC Other,PICC Accessories,Micro-EZ
2759,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
2761,BDM,PS,Prefillable Systems,Others,Other Pharma,Other
2772,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2773,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
2792,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2802,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS XSi
2858,BLS,DS,Microbiology,Other Core Micro,Transport,UVT
2862,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2900,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
2927,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Advanced Non-ARD,General
2933,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2969,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2993,BDI,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Hollister
3071,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3098,BDM,PS,Prefillable Systems,Stopper,Stopper Low Tier,Bulk Stopper
3102,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
3121,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3136,BDM,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Basic,General
3179,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
3188,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
3191,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
3200,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Customer Special Ndl
3216,BDM,MDS,Skin Prep & Securement,Securement,Statlock - CVC,Statlock CV Stand Alone
3220,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
3235,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3241,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3245,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
3257,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3258,BDM,MDS,IV Access,IVA MaxZero,IVA Extension Sets - MaxZero,MaxZero
3259,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3292,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External
3304,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3308,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Advanced Non-ARD,General
3344,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
3359,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
3372,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3378,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
3390,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Basic,General
3397,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Intima II Catheters,INTIMA II
3408,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
3409,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Others,Villamarzana
3442,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
3462,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
3471,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
3499,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
3513,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
3545,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
3547,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
3580,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod Color
3607,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Male HC DTC VA,PureWick Male HC DTC VA
3612,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
3615,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
3633,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains
3697,BDM,MDS,IPD OEM,HDS OEM,HDS OEM Texium,Texium
3706,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
3714,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3722,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod
3756,BDM,PS,Prefillable Systems,Stopper,Stopper Low Tier,BSCF/BCF/BCA
3778,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3785,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3801,BDM,PS,PS Safety,Component,Ultrasafe,Passive Finger Flange Color
3804,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
3807,BLS,SM,Lab Specimen Management,Urine,Bulk Tubes,BULK TUBES
3820,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
3827,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains
3870,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Venflon Pro with Instaflash,Venflon Pro with Instaflash
3878,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer
3885,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer
3896,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
3925,BDM,MDS,Anesthesia Systems,Other Anesthesia Products,Other Anesthesia Products,Spinal Introducer-SSU&BNS
3966,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
3969,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3971,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Finger Flange Color
3972,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
4008,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
4033,BDM,PS,SAIS,Device,Pen Vystra,Cap
4034,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod Color
4064,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
4149,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
4165,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4203,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Outcome-Driven,Saf-T Intima,DOA
4254,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Venflon Pro with Instaflash,Venflon Pro with Instaflash
4264,BLS,SM,Lab Specimen Management,Tubes - Chemistry,PT Glucose,GLUCOSE PLASTIC HEMO
4272,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
4298,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
4330,BDI,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,Hydro-Surg Plus
4344,BDM,MDS,Hazardous Drug Solutions,Optima Pharmacy Solutions,Optima Bag Access,Optima Bag Access
4391,BDM,MMS,IV Solutions,IV Solutions,FreeFlex,Dextrose
4439,BDM,MDS,Gravity and Syringe Delivery,GSD Secondary Sets,GSD Secondary Sets - Basic,General
4447,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
4448,BDI,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement
4464,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
4467,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
4509,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
4518,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4530,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
4542,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer
4554,BDI,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard)
4557,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Outcome-Driven,Saf-T Intima,DEHP
4578,BDI,UCC,Total BD UCC Other,Wound Drainage,Other Drains - BMD,T-Tube / Bile Bags
4589,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains
4590,BDI,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement
4615,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4638,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
4649,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
4657,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
4669,BDM,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,Other Conventional
4692,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
4699,BDM,MDS,Skin Prep & Securement,Securement,Statlock - CVC,Statlock CV Stand Alone
4753,BDI,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposable,PureWick Disposable
4762,BDM,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Specialty Non-Chemo,Anesthesia
4783,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4786,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4832,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
4854,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
4888,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
4906,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS
5015,BDM,MDS,IV Access,IVA MaxPlus,IVA Extension Sets - MaxPlus,MaxPlus Clear
5048,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
5060,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access
5091,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
5095,BDM,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Specialty Non-Chemo,Anesthesia
5124,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
5132,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
5137,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
5142,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains
5151,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
5168,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
5181,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
5182,BDI,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement
5211,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
5212,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits
5221,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
5225,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix Combo Panel
5238,BDM,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Infectious Waste Collectors,Phlebotomy
5255,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley
5275,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
5279,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
5291,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
5292,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
5301,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
5334,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
5343,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Specialty Non-Chemo,Anesthesia
5353,BDI,UCC,Total Acute Urology,Fecal Drainage,Fecal Rectal Tubes,Rectal Tubes
5358,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC
5364,BDI,SUR,Hernia,Groin Hernia,Groin Lap,3D Max Enhancement
5365,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,3pc Conventional - COMBOS,3cc Needle on Side
5376,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
5386,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Outcome-Driven,Saf-T Intima,DEHP
5389,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
5452,BDM,MDS,Skin Prep & Securement,Skin Prep,ChloraPrep Single Swabstick,Single Swabstick 1.75 ml
5464,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
5469,BDI,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposable,PureWick Disposable
5481,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
5503,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains
5506,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
5521,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC
5523,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains
5554,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External
5586,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urology,Catheter Plugs/Misc
5623,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
5662,BDM,MDS,Gravity and Syringe Delivery,GSD Blood Sets,GSD Blood Sets - Basic,General
5669,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
5677,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
5679,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Large Bore Needles
5704,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Venflon Pro with Instaflash,Venflon Pro with Instaflash
5737,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Intima II Safety Catheter,Intima II Safety
5740,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
5745,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
5765,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
5769,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
5777,BDI,SUR,Hernia,Groin Hernia,Groin Open,Preshapes
5791,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
5805,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Customer Special Ndl
5839,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bardex Int Cath
5860,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains
5868,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
5883,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
5884,BDI,UCC,Total Home Care Sales,Urology Home Care,Magic 3 Go,Magic 3 Go
5917,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Flat Drains
5936,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
5956,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tube W/Lopez Valve
5959,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits
5960,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
5961,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Advanced Non-ARD,General
5969,BDM,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia - Spinal Needles,Non-Sterile Disp Whitacre
5977,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe Sets,Enteral
5989,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Miscellaneous Reliavac
6001,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urology,Catheter Plugs/Misc
6005,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
6027,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains
6033,BDI,SUR,Hernia,Groin Hernia,Groin Lap,Light 3D Max Mesh
6039,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone 400 Kits
6051,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Others,Villamarzana
6057,BDM,MDS,Advanced Access Devices,PICC Other,PICC Accessories,Micro-EZ
6078,BDI,SUR,Hernia,Groin Hernia,Groin Open,Preshapes
6090,BDI,UCC,Total Acute Urology,Fecal Drainage,Fecal Rectal Tubes,Rectal Tubes
