,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
53097,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032000,ReadA - Plcmt,PH211146041035,ReadA SA - Plcmt,PH211146051061,ReadA SA - Plcmt,PL_712_210,ReadA SA - Plcmt Adjustment,PL_712_210-ReadA SA - Plcmt Adjustment,DS-PL_712_210,"$68,295 ", -   ,Matched by Material ID,rowa
53162,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,342973,FACSCalibur Cytometer 3 Color Basic IVD,342973-FACSCalibur Cytometer 3 Color Basic IVD,BDB-342973,"$36,443 ", -   ,Matched by Material ID,rowa
53192,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,343023,FACSCALIBUR 4 CLR WITH SORT SENSOR UNIT,343023-FACSCALIBUR 4 CLR WITH SORT SENSOR UNIT,BDB-343023,"$29,166 ", -   ,Matched by Material ID,rowa
53254,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022150,FACSJazz,PH220070032850,FACSJazz Instrument,PH220070041045,FACSJazz Instrument,PH220070051189,FACSJazz Instrument,655486,BDFACSJazz 4B 2R US,655486-BDFACSJazz 4B 2R US,BDB-655486,"$16,260 ", -   ,Matched by Material ID,rowa
53284,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,343022,FACSCALIBUR BASIC WITH SORT SENSOR UNIT,343022-FACSCALIBUR BASIC WITH SORT SENSOR UNIT,BDB-343022,"$12,755 ", -   ,Matched by Material ID,rowa
53319,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,342976,FACSCalibur 4 Color W/Sorting IVD,342976-FACSCalibur 4 Color W/Sorting IVD,BDB-342976,"$9,390 ", -   ,Matched by Material ID,rowa
53375,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,342974,FACSCalibur 3 Color W/Sorting IVD,342974-FACSCalibur 3 Color W/Sorting IVD,BDB-342974,"$6,125 ", -   ,Matched by Material ID,rowa
53390,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031100,All Other Lab Automation Instruments,PH211146041007,Other Instr- Sale,PH211146051014,Other Instr- Sale,446778,Bd Kiestra System Control Unit,446778-Bd Kiestra System Control Unit,DS-446778,"$5,483 ", -   ,Classified by ML model,rowa
53992,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031050,MultiProcessor Instr - Sale,PH211800041003,MultiProcessor Instr - Sale Adjustment,PH211800051005,MultiProcessor Instr - Sale Adjustment,PL_639_118,Totalys Microprocessor Instruments Adjustment,PL_639_118-Totalys Microprocessor Instruments Adjustment,DS-PL_639_118,$1 , -   ,Classified by ML model,rowa
54133,BDM,MMS,Medication Management Solutions (MMS),MMP,Pharmacy Automation,2305003,ROWA Pouch Packaging Retail,PH230500320000,ROWA Pouch Packaging Retail - Other,PH230500330000,ROWA Pouch Packaging Retail - Other,PH230500340000,ROWA Pouch Packaging Retail - Other,PH230500350000,ROWA Pouch Packaging Retail - Other,PL_210_212,ROWA Pouch Packaging Retail Adjustment,PL_210_212-ROWA Pouch Packaging Retail Adjustment,MMS-PL_210_212, $-   , -   ,Classified by ML model,rowa
54566,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031650,IdentifA - Sale,PH211146041027,IdentifA SA - Sale,PH211146051052,IdentifA SA - Sale,PL_694_210,IdentifA SA Instrument -Sale Adjustment,PL_694_210-IdentifA SA Instrument -Sale Adjustment,DS-PL_694_210, $-   , -   ,Matched by Material ID,rowa
54567,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031650,FocalPoint Instr - Plcmt,PH211800041039,FocalPoint Placement,PH211800051068,FocalPoint Placement,285048,Focal Point Instrument Placements,285048-Focal Point Instrument Placements,DS-285048, $-   , -   ,Matched by Material ID,rowa
55306,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121100,ProbeTec/Viper,PH211100132400,ProbeTec Viper Instr - Plcmt,PH211100141078,ProbeTecET Inst - Placements,PH211100151137,ProbeTecET Inst - Placements,285015,ProbeTec Instrument Placements,285015-ProbeTec Instrument Placements,DS-285015,"($173,632)", -   ,Matched by Material ID,rowa
55514,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031400,InoqulA+ Instr- Sale,PH211146041022,InoqulA+ Instr- Sale,PH211146051043,InoqulA+ Instr- Sale,443347,InoqulA Instrument,443347-InoqulA Instrument,DS-443347,"($194,859)",-1,Matched by Material ID,rowa
55518,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035700,FACSCalibur Instrument,PH220020041113,FACSCalibur Instrument,PH220020051312,FACSCalibur Instrument,342975,FACSCalibur Cytometer 4 Color Basic IVD,342975-FACSCalibur Cytometer 4 Color Basic IVD,BDB-342975,"$90,894 ",-2,Matched by Material ID,rowa
