,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
40879,BLS,DS,Microbiology,ID/AST,BioTyper Reagents/Accessories,BioTyper Reagents/Accessories,Safety Wingset,bactec vials,0.93
41711,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
42283,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
42467,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
42509,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
42520,BLS,DS,Microbiology,ID/AST,Phoenix 100 Instr - Sale,Phoenix 100 - Sales,BACTEC FX machine,pyxis,0.45
42568,BLS,BDB,Research Instruments,FACSAria,FACSAria Options,FACSAria Options,Powerport,pyxis,0.59
42595,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
42624,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
43792,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
43835,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),PowerPort,veritor device,0.59
43900,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Plastipak,veritor device,0.59
44346,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
44456,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
44492,BDI,PI,Peripheral Vascular Disease,Venous,Venclose Captial,Venclose Capital,Pyxis,safety wingset,0.38
44533,BLS,DS,Molecular Diagnostics,BD COR,All Other BD COR,BD COR Instrument Other,POWERPORT,plastipak,0.46
44537,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Vacutainer tubes,safety wingset,0.3
44539,BLS,BDB,Research Reagents,Custom Research Reagents,Cobalt - Customs,Cobalt - Customs,Pyxis,bactec vials,0.81
44560,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Pyxis,safety wingset,0.3
44586,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
44588,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
44591,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
44598,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
44599,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
44601,BLS,BDB,Single Cell Multiomics,SCM Instruments,Rhapsody Express,Rhapsody Express Package,Safety Wingset,pyxis,0.69
44608,BLS,BDB,Research Reagents,Custom Research Reagents,Cobalt - Customs,Cobalt - Customs,Pyxis,bactec vials,0.81
44615,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD Immune Repertoire Profiling Reagents (BD VDJ),TCR/BCR,Pyxis,bactec vials,0.76
44673,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
44682,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
47065,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
47236,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley NONCATALOG,Plastipak,safety wingset,0.97
47264,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Chloraprep,bactec fx machine,0.46
47278,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
47290,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Veritor device,powerport,0.6
47296,BDM,MDS,Hazardous Drug Solutions,Facilimix,Facilimix,Facilimix,Safety Wingset,purewick canister & tubing,0.39
47335,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
47370,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
47417,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
47578,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
47586,BLS,BDB,Research Reagents,Custom Research Reagents,Cobalt - Customs,Cobalt - Customs,Pyxis,bactec vials,0.81
47587,BLS,BDB,Research Reagents,Custom Research Reagents,Cobalt - Customs,Cobalt - Customs,Pyxis,bactec vials,0.81
47591,BLS,BDB,Research Reagents,Custom Research Reagents,Cobalt - Customs,Cobalt - Customs,Pyxis,bactec vials,0.81
47592,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
47622,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
47702,BLS,BDB,Single Cell Multiomics,SCM Other,SCM Other,SCM Other,Safety Wingset,bactec vials,0.45
47704,BLS,BDB,Single Cell Multiomics,SCM Other,SCM Other,SCM Other,Safety Wingset,bactec vials,0.45
47722,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
47764,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Pyxis,safety wingset,0.3
48022,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
48234,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,Purewick device,purewick catheter,0.7341666666666665
48825,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Pyxis,safety wingset,0.3
50208,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild,Vacutainer tubes,bactec vials,0.98
51651,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
51942,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
51971,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
52064,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
52068,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
52072,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
52073,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
52123,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
52127,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
52785,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
52815,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
52816,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
52817,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
52858,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Purewick canister & tubing,pyxis,0.51
52945,BLS,DS,Lab Automation,Lab Automation,InoqulA Talon Instr - Plcmt,InoqulA Talon Instr - Plcmt,Pyxis,rowa,0.65
52956,BLS,DS,Cancer,Cytology,FocalPoint Instr - Plcmt,FocalPoint GS Placement,Pyxis,rowa,0.75
52961,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
52966,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Pyxis,veritor device,0.59
53000,BLS,BDB,Clinical Instruments,FACSDuet,FACSDuet,FACSDuet,Pyxis,rowa,0.51
53009,BLS,SM,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS,Pyxis,safety wingset,0.3
