,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
54105,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,PosiFlush Safescrub,Posiflush - SafeScrub,Neopak,plastipak,0.46
54361,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54384,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54385,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54386,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54396,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54416,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley NONCATALOG,Plastipak,safety wingset,0.97
54431,BDM,MMS,CME,POC Systems,CME BODYGUARD C VISION - Placement,Drug Infusion - Placement,Pyxis,purewick device,0.75
54579,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
54647,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
54683,BDI,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora Precision,PowerPort,safety wingset,0.5
54689,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
54742,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
54746,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
54785,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
54828,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
54857,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Chloraprep,pyxis,0.51
54874,BLS,DS,Microbiology,ID/AST,BioTyper Reagents/Accessories,BioTyper Reagents/Accessories,Plastipak,bactec vials,0.93
54951,BLS,BDB,Clinical Reagents,Cytognos Reagents,Cytognos Other Reagents,Cytognos THIRD-PARTY REAGENTS,Chloraprep,bactec vials,0.61
54961,BDI,UCC,Total Acute Urology,Urological Drainage,Other Collection Devices,Other Latex Free Tray with Bag,Plastipak,purewick canister & tubing,0.76
55002,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Plastipak,bactec fx machine,0.46
55029,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
55031,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
55050,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
55061,BLS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options,Pyxis,rowa,0.65
55119,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
55191,BLS,DS,Microbiology,ID/AST,Phoenix 100 Instr - Sale,Phoenix 100 - Sales,BACTEC FX machine,pyxis,0.45
55217,BDI,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,Purewick catheter,purewick canister & tubing,0.54
55228,BLS,BDB,Single Cell Multiomics,SCM Other,SCM Other,SCM Other,Safety Wingset,bactec vials,0.45
55235,BLS,BDB,Research Instruments,FACSJazz,FACSJazz Instrument,FACSJazz Instrument,Pyxis,rowa,0.58
55251,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
55263,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
55283,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
55356,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
55417,BLS,BDB,Clinical Instruments,FACSLyric,FACSLyric Instrument,FACSLyric Instrument Adjustment,Pyxis,rowa,0.64
55428,BLS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options,Chloraprep,pyxis,0.51
55448,BLS,BDB,Research Instruments,FACSAria,FACSAria Options,FACSAria Options,Powerport,pyxis,0.59
55504,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ Capital,WavelinQ Capital,Purewick device,powerport,0.65
55656,BDM,MMS,CME,POC Systems,CME BODYGUARD C VISION - Placement,Drug Infusion - Placement,Pyxis,purewick device,0.75
55659,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
55678,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Neopak,safety wingset,0.46
55765,BDI,PI,Oncology,Ports,Ports,Chronoflex Silk,Plastipak,powerport,0.7
55772,BDI,PI,Oncology,Vacuum Assisted,Vacora Probes,Vacora 10G Needle,PowerPort,safety wingset,0.53
55877,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Purewick catheter,safety wingset,0.46
55997,BDI,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Other Biopsy Needles,BACTEC vials,safety wingset,0.99
56124,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
56133,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
