,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
23510,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,643752,Aria II Temperature Control Option 230V,643752-Aria II Temperature Control Option 230V,BDB-643752,"$25,780 ",52,Matched by Material ID,pyxis
23999,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070021950,Accuri,PH220070032450,Accuri Sampler,PH220070041037,Accuri Sampler,PH220070051174,Accuri C6 Plus Sampler,660519,BD CSampler Plus,660519-BD CSampler Plus,BDB-660519,"$518,850 ",48,Matched by Material ID,pyxis
24113,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051184,FACSAria Fusion Hood,657590,OPTION HOOD SAFETY BIOLOGICAL,657590-OPTION HOOD SAFETY BIOLOGICAL,BDB-657590,"$1,082,290 ",47,Matched by Material ID,pyxis
24114,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141000,Arctic Sun-Hardware,PH240151151000,Arctic Sun-Hardware,50000101,ARCTIC SUN 5000 CEU,50000101-ARCTIC SUN 5000 CEU,UCC-50000101,"$1,017,724 ",47,Matched by Material ID,pyxis
24226,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051344,FACSLyric Instrument - 6 Color,651165,FACSLyric 2L6C Instrument,651165-FACSLyric 2L6C Instrument,BDB-651165,"$3,523,285 ",46,Matched by Material ID,pyxis
24231,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,666780,FACSDiscover Air Compressor 120V/50HZ,666780-FACSDiscover Air Compressor 120V/50HZ,BDB-666780,"$202,531 ",46,Matched by Material ID,pyxis
24234,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,441511,Ups For Epicenter Computer,441511-Ups For Epicenter Computer,DS-441511,"$43,587 ",46,Matched by Material ID,pyxis
24357,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,665773,FACSDiscover Bio-Safety Cabinet US,665773-FACSDiscover Bio-Safety Cabinet US,BDB-665773,"$1,406,513 ",45,Matched by Material ID,pyxis
24358,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436300,BioTyper Instr - Plcmt,PH211100441284,BioTyper Placements,PH211100451512,LT MALDI-TOF Placeme,285027,Maldi Bruker Instrument Placements,285027-Maldi Bruker Instrument Placements,DS-285027,"$435,537 ",45,Matched by Material ID,pyxis
24483,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141000,Arctic Sun-Hardware,PH240151151000,Arctic Sun-Hardware,600001,ArcticSunStat220-240v,600001-ArcticSunStat220-240v,UCC-600001,"$529,547 ",44,Matched by Material ID,pyxis
