,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
47459,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031100,FocalPoint Instr - Sale,PH211800041004,FocalPoint Sales,PH211800051006,FocalPoint Sales,491087,Instrument Focalpoint 230V,491087-Instrument Focalpoint 230V,DS-491087,"$291,776 ",1,Classified by ML model,pyxis
47460,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,64828202,ARIA III 6B/2R ACDU BASIC,64828202-ARIA III 6B/2R ACDU BASIC,BDB-64828202,"$287,246 ",1,Matched by Material ID,pyxis
47461,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,65742724,Fort X-20 2B603R406V504YG503UV CC 6X Opt,65742724-Fort X-20 2B603R406V504YG503UV CC 6X Opt,BDB-65742724,"$284,155 ",1,Matched by Material ID,pyxis
47462,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051179,FACSAria Fusion SORP Instrument,658282X0,Fusion SO 3B103R103V105YG50ACDU,658282X0-Fusion SO 3B103R103V105YG50ACDU,BDB-658282X0,"$274,785 ",1,Classified by ML model,pyxis
47463,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,65742746,FORTX20 5L18C 2B60/3R40/6V50/4YG50/3UV15,65742746-FORTX20 5L18C 2B60/3R40/6V50/4YG50/3UV15,BDB-65742746,"$270,933 ",1,Classified by ML model,pyxis
47464,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033200,FACSymphony A5 Sorp Instrument,PH220070041053,FACSymphony A5 Sorp Instrument,PH220070051198,FACSymphony A5 Sorp Instrument,660964K2,SymphA5 30C B20R14V20YG20UV10 CASC EU SO,660964K2-SymphA5 30C B20R14V20YG20UV10 CASC EU SO,BDB-660964K2,"$267,431 ",1,Matched by Material ID,pyxis
47465,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,PL_146_128,FACSymphony A1 Adjustment,PL_146_128-FACSymphony A1 Adjustment,BDB-PL_146_128,"$263,267 ",1,Matched by Material ID,pyxis
47466,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937O5,Symphony A3 6B103R148V104YG10 HTSRDY SO,660937O5-Symphony A3 6B103R148V104YG10 HTSRDY SO,BDB-660937O5,"$260,672 ",1,Classified by ML model,pyxis
47470,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,657427U5,FOR X20 2B603R406V504YG503UV15 HPPMT CC,657427U5-FOR X20 2B603R406V504YG503UV15 HPPMT CC,BDB-657427U5,"$259,975 ",1,Classified by ML model,pyxis
47471,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,648282A2,ARIA III ACDU 6B/3R,648282A2-ARIA III ACDU 6B/3R,BDB-648282A2,"$253,750 ",1,Matched by Material ID,pyxis
47472,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033800,LSR/Fortessa,PH220070041066,LSR/Fortessa,PH220070051215,LSRFortessa SORP Instrument,647177N0,FORT 2B50/3R40/6V50/4YG50/3UV20CPU,647177N0-FORT 2B50/3R40/6V50/4YG50/3UV20CPU,BDB-647177N0,"$250,807 ",1,Classified by ML model,pyxis
47473,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937T1,SymphA3 SO 3B103R146V105YG106UV20SPDVSSC,660937T1-SymphA3 SO 3B103R146V105YG106UV20SPDVSSC,BDB-660937T1,"$250,102 ",1,Classified by ML model,pyxis
47474,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033200,FACSymphony A5 Sorp Instrument,PH220070041053,FACSymphony A5 Sorp Instrument,PH220070051198,FACSymphony A5 Sorp Instrument,660964R6,SymphA5 SO 4L Spectral B15R14V20YG15,660964R6-SymphA5 SO 4L Spectral B15R14V20YG15,BDB-660964R6,"$249,605 ",1,Matched by Material ID,pyxis
47475,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937N6,Symph A3 5B103R148V105YG157UV60 HP FF SO,660937N6-Symph A3 5B103R148V105YG157UV60 HP FF SO,BDB-660937N6,"$247,384 ",1,Matched by Material ID,pyxis
47476,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033200,FACSymphony A5 Sorp Instrument,PH220070041053,FACSymphony A5 Sorp Instrument,PH220070051198,FACSymphony A5 Sorp Instrument,660964S0,SymphA5 SO 3L Spectral B15R14V20,660964S0-SymphA5 SO 3L Spectral B15R14V20,BDB-660964S0,"$246,867 ",1,Matched by Material ID,pyxis
47477,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,656385P2,Fort X-20 B10R10V105YG102UV15 CPU EXTOPT,656385P2-Fort X-20 B10R10V105YG102UV15 CPU EXTOPT,BDB-656385P2,"$239,594 ",1,Classified by ML model,pyxis
47478,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,66093725,Symph A3 6B103R108V104YG107UV10 HPPMT,66093725-Symph A3 6B103R108V104YG107UV10 HPPMT,BDB-66093725,"$225,163 ",1,Classified by ML model,pyxis
47479,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,657427U4,FOR X20 B10R10V10YG10UV50 HPPMT HTSRDY,657427U4-FOR X20 B10R10V10YG10UV50 HPPMT HTSRDY,BDB-657427U4,"$224,544 ",1,Classified by ML model,pyxis
47480,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,64828201,ARIA III 6B/2R BASIC,64828201-ARIA III 6B/2R BASIC,BDB-64828201,"$220,053 ",1,Matched by Material ID,pyxis
47481,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937W2,SymphA3 4L21C 5B100/3R100/8V100/5YG100,660937W2-SymphA3 4L21C 5B100/3R100/8V100/5YG100,BDB-660937W2,"$220,001 ",1,Classified by ML model,pyxis
47482,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,65742750,X205L18C 2B100/3R100/6V100/3YG100/4UV15,65742750-X205L18C 2B100/3R100/6V100/3YG100/4UV15,BDB-65742750,"$220,001 ",1,Classified by ML model,pyxis
47483,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051178,FACSAria Fusion Instrument,656700B4,Fusion 6B/3R/6V ACDU,656700B4-Fusion 6B/3R/6V ACDU,BDB-656700B4,"$212,339 ",1,Matched by Material ID,pyxis
47484,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051178,FACSAria Fusion Instrument,656700F1,Fusion 3B/3R/6V/5YG,656700F1-Fusion 3B/3R/6V/5YG,BDB-656700F1,"$205,191 ",1,Matched by Material ID,pyxis
47485,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,664336,BD FACSMelody BYG 6-Color Plate 4way,664336-BD FACSMelody BYG 6-Color Plate 4way,BDB-664336,"$203,022 ",1,Matched by Material ID,pyxis
47486,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937V6,SymphA3 3L17C 6B100 3R140 8V100,660937V6-SymphA3 3L17C 6B100 3R140 8V100,BDB-660937V6,"$201,943 ",1,Classified by ML model,pyxis
47488,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,657675R1,LSRFortessa X-20 SO 2B/3R/6V/5YG,657675R1-LSRFortessa X-20 SO 2B/3R/6V/5YG,BDB-657675R1,"$201,341 ",1,Matched by Material ID,pyxis
47490,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,660937V3,SymphA3 3L16C 5B103R148V10 FFSS TBL MON,660937V3-SymphA3 3L16C 5B103R148V10 FFSS TBL MON,BDB-660937V3,"$184,700 ",1,Classified by ML model,pyxis
47491,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,656385U3,X20 5L18C 2B150/3R140/6V200/5YG150/2IR15,656385U3-X20 5L18C 2B150/3R140/6V200/5YG150/2IR15,BDB-656385U3,"$184,543 ",1,Classified by ML model,pyxis
47492,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,65742745,FORTX20 5L18C 2B100/3R40/6V100/5YG50/2UV,65742745-FORTX20 5L18C 2B100/3R40/6V100/5YG50/2UV,BDB-65742745,"$177,454 ",1,Classified by ML model,pyxis
47493,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653872,BD FACSMelody BRV 6 Color 4way,653872-BD FACSMelody BRV 6 Color 4way,BDB-653872,"$177,158 ",1,Classified by ML model,pyxis
47494,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653877,BD FACSMelody BV EU 4way,653877-BD FACSMelody BV EU 4way,BDB-653877,"$172,864 ",1,Classified by ML model,pyxis
47496,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032550,FACSAria Fusion Instrument,PH220070041039,FACSAria Fusion Instrument,PH220070051178,FACSAria Fusion Instrument,65670003,Fusion 6B/2R/3V,65670003-Fusion 6B/2R/3V,BDB-65670003,"$169,598 ",1,Matched by Material ID,pyxis
47497,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,664339,BD FACSMelody BYG 4-Color Plate EU 4way,664339-BD FACSMelody BYG 4-Color Plate EU 4way,BDB-664339,"$168,506 ",1,Matched by Material ID,pyxis
47498,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033200,FACSymphony A5 Sorp Instrument,PH220070041053,FACSymphony A5 Sorp Instrument,PH220070051198,FACSymphony A5 Sorp Instrument,66096420,FACSymphony,66096420-FACSymphony,BDB-66096420,"$164,648 ",1,Classified by ML model,pyxis
47499,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032600,FACSAria Instrument,PH220070041040,FACSAria Instrument,PH220070051182,FACSAria III Instrument,64828217,ARIA III 3B/2R/2V/4YG BASIC,64828217-ARIA III 3B/2R/2V/4YG BASIC,BDB-64828217,"$159,204 ",1,Matched by Material ID,pyxis
47500,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121050,Affirm,PH211100132000,Affirm Instr - Plcmt,PH211100141053,Affirm Inst - Placements,PH211100151092,Affirm Inst - Placem,285010,Affirm Instrument Placements & Patents,285010-Affirm Instrument Placements & Patents,DS-285010,"$147,627 ",1,Matched by Material ID,pyxis
47503,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,664329,BD FACSMelody BRYG 8-Color 4way,664329-BD FACSMelody BRYG 8-Color 4way,BDB-664329,"$116,027 ",1,Classified by ML model,pyxis
47504,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051342,FACSLyric Instrument - 10 Color,666949,FACSLyric 3L10C CN-IVD,666949-FACSLyric 3L10C CN-IVD,BDB-666949,"$113,306 ",1,Classified by ML model,pyxis
47505,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653871,BD FACSMelody BV 4way,653871-BD FACSMelody BV 4way,BDB-653871,"$111,266 ",1,Classified by ML model,pyxis
47507,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036550,FACSLyric Options,PH220020041139,FACSLyric Options,PH220020051354,FACSLyric Other Options and Upgrades,662850,Kit Upgrade FACSLyric 4 to 12 Color,662850-Kit Upgrade FACSLyric 4 to 12 Color,BDB-662850,"$91,462 ",1,Matched by Material ID,pyxis
47508,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,#EVM#,BD FACSMelody,#EVM#-BD FACSMelody,BDB-#EVM#,"$90,677 ",1,Matched by Material ID,pyxis
47511,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022800,FACSymphony A1,PH220070034500,FACSymphony A1 Instrument,PH220070041088,FACSymphony A1 Instrument,PH220070051249,FACSymphony A1 Instrument,66489309,FACSymphony A1 Refurb,66489309-FACSymphony A1 Refurb,BDB-66489309,"$88,640 ",1,Classified by ML model,pyxis
47512,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,6.62E+11,FUSION SO LASER 355-50 2PMT Fib 3Optic,662075E6-FUSION SO LASER 355-50 2PMT Fib 3Optic,BDB-662075E6,"$85,085 ",1,Classified by ML model,pyxis
47515,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340577R3,Aria SO Laser UPG 405-50 6 PMT OCT,340577R3-Aria SO Laser UPG 405-50 6 PMT OCT,BDB-340577R3,"$76,254 ",1,Classified by ML model,pyxis
47516,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340577R4,Aria SO Laser UPG 405-50 6 PMT OCT DAQ3,340577R4-Aria SO Laser UPG 405-50 6 PMT OCT DAQ3,BDB-340577R4,"$73,958 ",1,Classified by ML model,pyxis
47517,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022500,LSR/Fortessa,PH220070033950,LSR/Fortessa X-20,PH220070041069,LSR/Fortessa X-20,PH220070051218,LSRFortessa X20 Instrument,658325N3,FORT X20 SO 561-50 355-15 5YG 2UV,658325N3-FORT X20 SO 561-50 355-15 5YG 2UV,BDB-658325N3,"$73,223 ",1,Classified by ML model,pyxis
47518,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340577P4,"ARIA LASER OPT561-50, 9PMTS, 2DAQ3, 2SCI","340577P4-ARIA LASER OPT561-50, 9PMTS, 2DAQ3, 2SCI",BDB-340577P4,"$71,566 ",1,Classified by ML model,pyxis
47521,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070032950,FACSMelody Instrument,PH220070041047,FACSMelody Instrument,PH220070051191,FACSMelody Instrument,653868,BD FACSMelody Blue 2-Color 4way,653868-BD FACSMelody Blue 2-Color 4way,BDB-653868,"$65,849 ",1,Matched by Material ID,pyxis
47522,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,663814,Fusion 355 UV Laser Upgd 3 PMT Trigon,663814-Fusion 355 UV Laser Upgd 3 PMT Trigon,BDB-663814,"$62,982 ",1,Matched by Material ID,pyxis
47523,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022100,FACSCelesta,PH220070032750,FACSCelesta Instrument,PH220070041043,FACSCelesta Instrument,PH220070051187,FACSCelesta Instrument,66093309,FACSCelesta SORP - Rep,66093309-FACSCelesta SORP - Rep,BDB-66093309,"$62,920 ",1,Matched by Material ID,pyxis
47528,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,A4112UK,CORELITE SYSTEM - UK,A4112UK-CORELITE SYSTEM - UK,PI-A4112UK,"$52,756 ",1,Classified by ML model,pyxis
47529,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340577L6,Aria Laser Opt 561-50 1PMT FIB DAQ3 SO,340577L6-Aria Laser Opt 561-50 1PMT FIB DAQ3 SO,BDB-340577L6,"$52,021 ",1,Classified by ML model,pyxis
47531,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340577R2,Aria SO Laser UPG 405-100 6 PMT Octagon,340577R2-Aria SO Laser UPG 405-100 6 PMT Octagon,BDB-340577R2,"$45,530 ",1,Classified by ML model,pyxis
47532,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022300,FACSymphony Analyzers,PH220070033150,FACSymphony A3 Sorp Instrument,PH220070041052,FACSymphony A3 Sorp Instrument,PH220070051197,FACSymphony A3 Sorp Instrument,66093710,SymphonyA3 B10R14V10YG10UV100 HTSRDY SO,66093710-SymphonyA3 B10R14V10YG10UV100 HTSRDY SO,BDB-66093710,"$44,406 ",1,Matched by Material ID,pyxis
47533,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,65671110,Fusion YG Upgrade 5 PMT Octagon,65671110-Fusion YG Upgrade 5 PMT Octagon,BDB-65671110,"$41,789 ",1,Matched by Material ID,pyxis
47534,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070033000,FACSMelody Options,PH220070041048,FACSMelody Options,PH220070051192,FACSMelody Other Options and Upgrades,661776,FACSMelody Plate Sorting UPGD Kit,661776-FACSMelody Plate Sorting UPGD Kit,BDB-661776,"$38,653 ",1,Matched by Material ID,pyxis
47536,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023150,FACSCalibur,PH220020035800,FACSCalibur Options,PH220020041119,FACSCalibur Options,PH220020051318,FACSCalibur Other Options and Upgrades,343020,FACSCalibur Basic Sensor Unit,343020-FACSCalibur Basic Sensor Unit,BDB-343020,"$36,414 ",1,Matched by Material ID,pyxis
47538,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,662075F1,Fusion STD SO Laser 405-50 6PMT,662075F1-Fusion STD SO Laser 405-50 6PMT,BDB-662075F1,"$34,045 ",1,Classified by ML model,pyxis
47541,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070033000,FACSMelody Options,PH220070041048,FACSMelody Options,PH220070051192,FACSMelody Other Options and Upgrades,662453,FACSMelody Violet Laser Upgrade 2V,662453-FACSMelody Violet Laser Upgrade 2V,BDB-662453,"$31,067 ",1,Classified by ML model,pyxis
47545,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022200,FACSMelody,PH220070033000,FACSMelody Options,PH220070041048,FACSMelody Options,PH220070051192,FACSMelody Other Options and Upgrades,661779,BD FACSMelody YG Laser 2-Color UPGD KIT,661779-BD FACSMelody YG Laser 2-Color UPGD KIT,BDB-661779,"$26,949 ",1,Classified by ML model,pyxis
47549,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036550,FACSLyric Options,PH220020041139,FACSLyric Options,PH220020051354,FACSLyric Other Options and Upgrades,660444,Kit Upgrade FACSLyric 2L4C to 3L8C,660444-Kit Upgrade FACSLyric 2L4C to 3L8C,BDB-660444,"$25,575 ",1,Matched by Material ID,pyxis
47551,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,340562,BD FACSAria Special Order Dtec Option,340562-BD FACSAria Special Order Dtec Option,BDB-340562,"$24,848 ",1,Classified by ML model,pyxis
47552,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,657792,FACSAria Std Misc,657792-FACSAria Std Misc,BDB-657792,"$24,397 ",1,Classified by ML model,pyxis
47555,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,A4112US,CORELITE CABINET,A4112US-CORELITE CABINET,PI-A4112US,"$23,322 ",1,Classified by ML model,pyxis
47556,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021000,Lab Automation - PC Adjustment,PH211146032150,Lab Automation - PC Adjustment,PH211146041039,Lab Automation - PC Adjustment,PH211146051068,Lab Automation - PC Adjustment,*SLPE-55F,Compressor TLA UGAP,*SLPE-55F-Compressor TLA UGAP,DS-*SLPE-55F,"$22,179 ",1,Classified by ML model,pyxis
47561,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022050,FACSAria,PH220070032650,FACSAria Options,PH220070041041,FACSAria Options,PH220070051185,FACSAria Other Options and Upgrades,662076,FACSAria Fusion SO Detector Option,662076-FACSAria Fusion SO Detector Option,BDB-662076,"$17,576 ",1,Classified by ML model,pyxis
47563,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,A4112CH2,CORELITE CAPITAL2- CH,A4112CH2-CORELITE CAPITAL2- CH,PI-A4112CH2,"$17,400 ",1,Classified by ML model,pyxis
47564,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023850,Sample Prep Assistant,PH220020037500,SPA,PH220020041178,SPA,PH220020051435,SPA III Instrument,647205,BD FACS Sample Prep Assistant III,647205-BD FACS Sample Prep Assistant III,BDB-647205,"$16,488 ",1,Matched by Material ID,pyxis
47566,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021007,Other Biopsy,PH240111031045,CoreLite Capital,PH240111041106,CoreLite Capital,PH240111051121,CoreLite Capital,A4112EU,CORELITE SYSTEM - EU,A4112EU-CORELITE SYSTEM - EU,PI-A4112EU,"$15,702 ",1,Matched by Material ID,pyxis
